position,company,location,flag
Data Integration Analyst,Haver & Boecker USA,"Conyers, GA",86
Director of Analytics,Northeast Georgia Health System,"Gainesville, GA",82
Territory Sales Representative,"A & I Sales Associates, Inc.","Hiram, GA",79
Webmaster and SEO Specialist,Kennesaw State University,"Kennesaw, GA",73
Senior Manager – Fraud Analytics and Strategy,Merchants Preferred,"Atlanta, GA",60
Mobile Apps Developer/Mobile Games Engineer,Tastypill,"Atlanta, GA",39
Associate Digital Marketing Analyst,"Watauga Group, LLC","Atlanta, GA",35
Senior Data Scientist - Python,Gallup,"Atlanta, GA",18
Data Integration Analyst,Merchants Preferred,"Conyers, GA",13
Senior Manager – Fraud Analytics and Strategy,Northeast Georgia Health System,"Atlanta, GA",12
Accountant IV,InComm,"Atlanta, GA",11
Campaign Manager,LendingPoint Consolidated Inc,"Kennesaw, GA",10
"Director, Product Analysis",Kemper,"Alpharetta, GA",10
"Associate, Client Experience, Corporate",Weber Shandwick,"Atlanta, GA",10
Senior Quality Systems Data Specialists,The Clorox Company,"Kennesaw, GA",9
"SWC Clinical Informatics Analyst - Atlanta, GA",South Western Communications,"Suwanee, GA",9
Engineering and Technology Intern,LOCKHEED MARTIN CORPORATION,"Marietta, GA",9
Operations Analyst - Modeling & Simulation,LOCKHEED MARTIN CORPORATION,"Marietta, GA",9
"Analyst, Consumer Insights - 360i, Atlanta",Dentsu Aegis Network,"Atlanta, GA",9
Data Scientist – Global Identity and Fraud,Equifax,"Atlanta, GA",9
Manager Operations,Risk Solutions,"Duluth, GA",9
Visualization Consultant,aspirent,"Atlanta, GA",9
RESEARCH AND INQUIRY LEAD,Care.org,"Atlanta, GA",9
IT Recruiter - Atlanta,Infosys McCamish,"Atlanta, GA",9
Big Data Infrastructure Lead,Mercedes-Benz USA,"Atlanta, GA",9
"Specialist, SEO",Veeam Software,"Alpharetta, GA",9
"Analyst, Consumer Insights - 360i, Atlanta",360i,"Atlanta, GA",8
Planning & Logistics Specialist,Halyard Health,"Alpharetta, GA",8
Performance Marketing Specialist,Liquid,"Atlanta, GA",8
"Analyst, Customer Intelligence, Global HeartBeat",IHG Corporate,"Atlanta, GA",8
"Director, Big Data Software Engineer",KPMG,"Atlanta, GA",8
"Director, Analytics Solutions Architect",Avanade,"Atlanta, GA",8
Sales Engineer,Forcepoint,Georgia,8
Business Reporting Analyst I,Savannah College of Art and Design,"Savannah, GA",8
Systems Analyst,"Safe-Guard Products International, LLC","Atlanta, GA",8
Data Analyst,CCC Information Services Inc.,"Atlanta, GA",8
Power BI Developer,SoftVision - North America & UK,"Alpharetta, GA",8
Human Resource Consultant,Ricoh,"Tucker, GA",8
SAP Enterprise HANA Analytics + HANA Data Modeling - Senior Consultant,Deloitte,"Atlanta, GA",8
Senior Analyst - Store Operations & New Distribution,NAPA Auto Parts,"Atlanta, GA",8
Learning & Leadership Development Consultant,NCR,"Atlanta, GA",8
Sr. Data Analyst/Architect,aspirent,"Atlanta, GA",8
"Associate, Portfolio Management - Index Products",BlackRock,"Atlanta, GA",8
"Project Leader, Operations Analysis & Performance, Decision Science",Delta Air Lines,"Atlanta, GA",8
Project Manager,Slalom Consulting,"Atlanta, GA",8
Sr. Revenue Analyst,WestRock,"Norcross, GA",8
Entry Level Accenture Technology Advanced Application Engineer,Accenture,"Atlanta, GA",8
"Associate Director Research Projects, CHAMPS",Emory University,"Atlanta, GA",8
Spring 2020 Customer Operations Analyst Internship,Norfolk Southern Corp,"Atlanta, GA",8
Financial Analyst,Aptos,"Atlanta, GA",8
"Senior Analyst, Credit Analytics",The Home Depot,"Atlanta, GA",8
Senior Research Analyst,JLL,"Atlanta, GA",8
"Business Intelligence Developer - Smyrna, GA",Masco,"Smyrna, GA",8
"VP, Technology Services",BrightWave,"Atlanta, GA",8
Senior Economist,Bank of America,"Atlanta, GA",8
"Director, Sales Worldwide Accounts - Sports",Hilton Corporate,"Atlanta, GA",8
Data Architect,LendingPoint Consolidated Inc,"Kennesaw, GA",8
Account Manager,recruitics,"Atlanta, GA",8
Senior Data Analyst,Rentokil Initial,"Atlanta, GA",8
Actuarial Intern,Berkshire Hathaway Homestate Companies,"Atlanta, GA",8
VP of Chart Retrieval Operations,Change Healthcare,"Alpharetta, GA",8
"Business Intelligence Developer - Smyrna, GA",Masco Support Services,"Smyrna, GA",8
Underwriter II,Kaiser Permanente,"Atlanta, GA",8
Software Engineer Intern,Keysight Technologies,"Atlanta, GA",8
Compliance Manager,"Carters, Inc","Atlanta, GA",8
Territory Sales Representative,Kennesaw State University,"Hiram, GA",8
Webmaster and SEO Specialist,Haver & Boecker USA,"Kennesaw, GA",8
Digital Analyst (US-based telecommute position),Mediacurrent,"Alpharetta, GA",8
Senior BI Developer Job,Acuity Brands,"Conyers, GA",8
Order Management & Logistics Specialist,Char-Griller,"Atlanta, GA",8
OPO/ Data Analyst,"LifeLink Foundation, Inc.","Norcross, GA",8
Senior Python Developer,iQuadra,"Atlanta, GA",8
"Manager, Analytics",Zenith,"Atlanta, GA",8
Financial Analyst,CIOX Health,"Alpharetta, GA",8
Public Relations Coordinator,"Georgia Aquarium, Inc.","Atlanta, GA",7
Data Analyst Intern,"Porsche Consulting, Inc.","Atlanta, GA",7
Immunology Business Analytics Lead,UCB S.A.,"Atlanta, GA",7
"Data Analyst, FDPRI",UNITED NEGRO COLLEGE FUND,"Atlanta, GA",7
Distinguished Data Scientist,Verizon,"Alpharetta, GA",7
Director of Sales,RGI Data Assets,"Marietta, GA",7
"Associate, Paid Social",GroupM North America,"Atlanta, GA",7
Senior Debt Analyst,MetLife,"Atlanta, GA",7
"Atlas-Foundations, Contract Entry and Data Migration Analyst",Equifax,"Atlanta, GA",7
Sr. Data Scientist,Rubicon Global,"Atlanta, GA",7
Sr. Data Analyst – Global Customer Success,NCR,"Atlanta, GA",7
Financial Data Analyst I,InComm,"Atlanta, GA",7
"Director, Product Management, Data Platforms",Fiserv,"Alpharetta, GA",7
Junior Full Stack Engineer,"PubWise, LLLP","Sandy Springs, GA",7
"Director, Inventory Management",Veritiv,"Norcross, GA",7
Data Analyst,CBRE,"Roswell, GA",7
College intern,LOCKHEED MARTIN CORPORATION,"Marietta, GA",7
Software Sales Consultant With $90k Plus Earning Potential,Miestro,"Atlanta, GA",7
Internal Operations Consultant - Entry Level with Career Path,Altisource,"Sandy Springs, GA",7
Business Analyst Internship (Fall 2019),M3,"Lawrenceville, GA",7
"Intern, SQL Report Writer",SAP,"Alpharetta, GA",7
Associate Dealer Credit Analyst,Ally Financial Inc.,"Duluth, GA",7
Data Architect,"Insight Enterprises, Inc.","Atlanta, GA",7
Epidemiologist (Bilingual),Centers for Disease Control and Prevention,"Atlanta, GA",7
Product Designer,Mailchimp,"Atlanta, GA",7
eCommerce Analytics Manager,WestRock,"Atlanta, GA",7
Data Steward - People Operations,McKinsey & Company,"Atlanta, GA",7
Manager of Analytics,Greensky,"Atlanta, GA",7
"Mgr., IT Audit & Data Analytics",Graphic Packaging International,"Atlanta, GA",7
Data Scientist,aspirent,"Atlanta, GA",7
Management Analyst,AbsolutData Research & Analytics,"Jersey, GA",7
People Analytics - Sr. Analyst,DELUXE CORPORATION,"Atlanta, GA",7
Analyst Intern,Purchasing Power,"Atlanta, GA",7
GACS SP Financial Analytics Supervisor,UNITED PARCEL SERVICE,"Atlanta, GA",7
Data Governance Manager,TSYS,"Atlanta, GA",7
Analytics Engineer,Cox Communications,"Atlanta, GA",7
Predictive Analytics Analyst/Developer,Philips,"Alpharetta, GA",7
Director of Analytics,Kennesaw State University,"Gainesville, GA",7
"Product Analyst, Commerce Platform",Square,"Atlanta, GA",7
Data Reporting Analyst,HD Supply,"Atlanta, GA",7
HR Associate,Risk Solutions,"Alpharetta, GA",7
Data Consultant-Marketing,Kaiser Permanente,"Atlanta, GA",7
Experience Center Leader,EY,"Alpharetta, GA",7
Statistician (Health) (Direct Hire),Centers for Disease Control and Prevention,"Atlanta, GA",7
HRIS Analyst I,"nThrive, Inc.","Alpharetta, GA",7
Contact Center Operational Excellence Leader,Equifax,"Alpharetta, GA",6
Data Scientist,UNITED PARCEL SERVICE,"Alpharetta, GA",6
Senior Data Scientist,Equifax,"Atlanta, GA",6
Insurance Actuarial Associate,BDO,"Atlanta, GA",6
Clinical Implementation Consultant,Jvion,"Atlanta, GA",6
"Manager 1, Marketing",Comcast,"Atlanta, GA",6
Proposal Solution Representative,Acuity Brands Lighting,"Conyers, GA",6
College Intern,Auto Club Group,"Marietta, GA",6
OAP Spring 2020 CoOp,Delta Air Lines,"Atlanta, GA",6
Senior Birst BI/Analytics Developer,Avani Technology Solutions Inc,"Atlanta, GA",6
Director Certification Job,Acuity Brands,"Decatur, GA",6
