position,company,location,flag
Quality Analyst,Alameda Health System,"Oakland, CA",100
"Data Architect, Data & Analytics",Business & Decision,"San Francisco Bay Area, CA",98
"Manager, Analytics",Dynavax Technologies,"Berkeley, CA",90
Head of Data Analytics and Systems Architecture,Strideline LLC,"Seattle, WA",87
Consultant â€“ Data Analytics Group,Opinion Dynamics,"Oakland, CA",77
Client Success Manager,Elevated Resources C/O Client,"Oakland, CA",72
Director of Data & Analytics,The Voter Participation Center / Center for Voter Information,"Washington, DC",65
"Vice President, Compliance Monitoring and Data Analytics",Options Clearing Corporation,"Chicago, IL",64
Data Science Manager,Big Fish Games,"Oakland, CA",57
Sr. Data Analyst - Google Analytics,Sourceability,"Irvine, CA",48
122 HEALTHCARE ANALYTICS - Manager Analytics,Alameda Alliance,"Alameda, CA",39
"Sr. Director, Data and Market Analytics & Insights (USBU)",Takeda Pharmaceuticals,"Boston, MA",23
"BI Project Manager/Analyst Consultant, Data & Analytics (D&A)",Business & Decision,"San Francisco Bay Area, CA",10
"Associate, Data & Analytics Modeler Machine Learning - FS",KPMG,"Washington, DC",7
HR Data & Analytics Manager,Anheuser-Busch,"St. Louis, MO",6
Manager of Rolling Stock Administration,Bart,"Oakland, CA",6
Data Scientist,Amgen,"Thousand Oaks, CA",4
People Analytics Analyst,ServiceNow,"San Diego, CA",4
Data Visualization Analyst,Charlie's Produce,"Seattle, WA",4
Experienced Healthcare Data Analyst,Grand Rounds,"San Francisco, CA",3
"Analyst, BI & Analytics - Virtual",JLL,"Chicago, IL",3
"Data Science Specialist, Advanced Analytics",Lincoln Financial,"Boston, MA",3
Data Analytics Grintern,SmileDirectClub,"Nashville, TN",3
Faculty Chair - Analytics & Big Data Program,Executive Education Institute,"San Francisco, CA",3
"Quality Data Scientist, Analytics",Tonal,"San Francisco, CA",3
Data Scientist,Curology,"San Francisco, CA",3
"Data Collection Specialist- San Francisco, CA",U.S. Bank,"San Francisco, CA",3
"Senior Associate, Data & Analytics",KPMG,"San Francisco, CA",3
Data Scientist â€“ Premium Analytics,Spotify,"New York, NY",3
Data Analytics Immersion Instructor,Thinkful,Remote,3
Data Analytics Manager (NYC),DonorsChoose.org,"New York, NY",3
"Senior Associate, Data & Analytics",WeWork,"New York, NY",3
Data & Analytics Information Architect,Procter & Gamble,"Cincinnati, OH",3
Data Analytics Professional,Freddie Mac,"McLean, VA",3
Data Scientist - Data Analytics & Data Management,State of Idaho,"Boise, ID",3
Data Analytics Liaison,Saint Joseph Mercy Health System,"Ann Arbor, MI",2
Data Analytics & Modeling Consultant,Deloitte,"Gilbert, AZ",2
People Analytics Scientist,Workday,"Pleasanton, CA",2
Data Analytics Instructor - University of Oregon,Trilogy Ed,"Portland, OR",2
Data Analyst/Scientist,DXC,California,2
Data Analytics Intern,New York eHealth Collaborative,"New York, NY",2
"Manager, Data Analytics",CMI/Compas,"Parsippany, NJ",2
Data Analytics Intern,TDS,"Madison, WI",2
Operations Specialist (Analytics & Operations),Forward,"San Francisco, CA",2
Data Analytics Engineer Intern,"Samsung Semiconductor, Inc.","San Jose, CA",2
Operations Manager - Data & Analytics Global Growth Platform,Slalom Consulting,"Seattle, WA",2
Data Analytics Intern,Vermeer Corporation,"Pella, IA",2
"Manager, Healthcare Analytics - Data Governance",MemorialCare Health Services,"Fountain Valley, CA",2
Data Analytics Consultant,Inspire11,"Atlanta, GA",2
Data Analytics Coordinator,Marianna Industries,"Omaha, NE",2
Data Analytics Engineer,Cappex,"Chicago, IL",2
"Operations Analyst, Business Strategy & Analytics",The RealReal,"San Francisco, CA",2
"Product Analytics Lead, Data Science",Google,"San Bruno, CA",2
"Data Analyst, Customer Insight Analytics - Entry Level",Grand Rounds,"Reno, NV",2
"Recruiter, Science and Data Analytics (Contract)",The Climate Corporation,"San Francisco, CA",2
Sales Systems and Data Analyst,RiseSmart,Remote,2
Data & Analytics Business Development Executive,CapTech Consulting,"Atlanta, GA",2
Data & Analytics Business Intelligence Intern,Donnelley Financial Solutions,"Chicago, IL",2
Sales Operations Data Analyst,Microsoft,"Bellevue, WA",2
Sales Engineer,Fivetran,"Oakland, CA",2
Sales Development Representative,Culture Amp,"San Francisco, CA",2
Sales Data Analyst,Producers Dairy Foods,"Fresno, CA",2
Data Analyst,Adaptive Biotechnologies,"Seattle, WA",2
Data Analyst,Autodesk,"San Francisco, CA",2
Data Analyst,Black Knight,"Glendale, CA",2
"Research and Data Associate, Supervised Release Program",Center for Court Innovation,"New York, NY",2
Data Analyst,DaVita Medical Group,"El Segundo, CA",2
Data Analyst,GreenCoast Hydroponics,"Long Beach, CA",2
Quantitative Researcher,MSCI Inc.,"Berkeley, CA",2
Digital Data & Analytics Manager,JPMorgan Chase,"San Francisco, CA",2
Qualitative Research and Survey Analyst,Aspire Public Schools,"Oakland, CA",2
Data Analyst,"PennyMac Loan Services, LLC","Agoura Hills, CA",2
Data Analyst,SAC Health System,"San Bernardino, CA",2
Data Analyst,Spin Electric Scooters,"San Francisco, CA",2
Data Analyst,Thistle.co,"San Francisco, CA",2
Data Analyst,VaynerMedia LLC,"Los Angeles, CA",2
"Program Specialist, International Programs -",University of California Berkeley,"Berkeley, CA",2
Data Analyst - Advanced Analytics,Univar Solutions,"Downers Grove, IL",2
Data Analyst - Google Analytics 360,VSB Tech,"New York, NY",2
"Manager, Data Analytics",Bird Rides Inc.,"Santa Monica, CA",2
Data Analyst II,Microsoft,"Redmond, WA",2
Data Analyst Intern,Lake Appliance Repair,"Fair Oaks, CA",2
Portuguese Speaking Data Analyst S593,Anzu Global,"Cupertino, CA",2
Data Analytics Manager,Bank of the West,"San Ramon, CA",2
"sr decision scientist, Applied Analytics",Starbucks,"Seattle, WA",2
"Manager, Data Analysis",Hawaii Dental Service,"Honolulu, HI",2
"Data Scientist, Analytics - Spark AR",Facebook,"Menlo Park, CA",2
Forecast Analyst,Cisco Meraki,"San Francisco, CA",2
Data Scientist,Spry Health,"Palo Alto, CA",2
Data Scientist,Zioqu,"San Diego, CA",2
Data Scientist (Analytics),Opendoor,"San Francisco, CA",2
"Data Scientist (Entry-Level), Product Analytics (Temporary)",Brain Corp,"San Diego, CA",2
Data Scientist - Customer Analytics,Jet.com,"San Bruno, CA",2
Data Scientist - Customer Analytics,Walmart,"San Bruno, CA",2
Entry Level Data Scientist,IBM,United States,2
Entry Level Data Scientist,CACI,"Bethesda, MD",2
"Entry Level Data Analyst (Tucson, AZ)",Titan Healthcare Management Solutions,"Tucson, AZ",2
Entry Level Data Analyst,Axos Bank,"San Diego, CA",2
"Data Scientist, Analytics - Messenger Relevance",Facebook,"Menlo Park, CA",2
"Data Scientist, Analytics - Video Integrity",Facebook,"Menlo Park, CA",2
Full Stack Engineer,"Lucid Design Group, Inc.","Oakland, CA",2
"Data Scientist, Customer Analytics",The J. M. Smucker Company,"Akron, OH",2
Data Strategy Lead,Komodo Health,"San Francisco, CA",2
Data Systems Editor,Social Standards,"Oakland, CA",2
"Director, Data Analytics","True Botanicals, Inc","San Francisco, CA",2
Data Visualization Engineer - iCloud Analytics,Apple,"Santa Clara Valley, CA",2
Data Warehouse Specialist,University of California - Irvine,"Irvine, CA",2
Data Warehousing Engineer,InfoObjects Inc,"Mountain View, CA",2
Data and Analytics Director,"J.C. Penney Corporation, Inc.","Plano, TX",2
Data and Analytics Engineer,Genentech,"South San Francisco, CA",2
Data/Analytics Analyst,UBS,"Weehawken, NJ",2
Director GBCARE Data Analytics,Gallagher,"Rolling Meadows, IL",2
"Decision Scientist, People Analytics, Analytics & Insights",Starbucks,"Seattle, WA",2
"Forecasting Analyst, Ads Analytics and Insights",Google,"Mountain View, CA",2
Data Scientist,Flow Labs,"Oakland, CA",2
Data Analytics Manager - Data Governance,Mercury Insurance Group,"Brea, CA",2
"Data Engineer, Analytics - Seattle",Facebook,"Seattle, WA",2
Data Analytics Product Owner,Welk Resort Group,"San Marcos, CA",2
Data Analytics Specialist,Logistics Management Institute,"Springfield, VA",2
Data Analytics Specialist,University of North Carolina Wilmington,"Wilmington, NC",2
"Senior Analyst, Engagement & Retention Analytics",NBCUniversal,"Los Angeles, CA",2
Lead EHR Analyst,Norton Sound Health Corporation,"Oakland, CA",2
Lead Data Scientist - Product Analytics,Common Networks,"San Francisco, CA",2
Lauder 2020 Summer Intern - Online,The EstÃ©e Lauder Companies,United States,2
"Data Architect, Analytics Data Products",Wayfair,"Boston, MA",2
Data Center Facility Maintenance Coordinator,Apple,"Reno, NV",2
IoT Data & Analytics Product Manager,McDonald's Corporate,"Chicago, IL",2
Internship: Data Analytics,Covance,"Madison, WI",2
Intern - Data Analytics,CSL Behring,"Kankakee, IL",2
"Data Engineering Manager, Data & Analytics",WeWork,"San Francisco, CA",2
Data Scientist,Digitalogy,"New York, NY",2
Data Integration Analyst,Zillow Group,"Irvine, CA",2
Healthcare Data Analytics Specialist,Inovalon,"Bowie, MD",2
Healthcare Data Analyst,Vim,"San Francisco, CA",2
Healthcare Data Analyst,UnitedHealth Group,"Sacramento, CA",2
Data Product Manager,Azlo,"San Francisco, CA",2
Health Economist,Mathematica Policy Research,"Oakland, CA",2
Head of Data Analytics,Berkshire Hathaway Homestate Companies,"San Francisco, CA",2
Head of Data,Spin Electric Scooters,"San Francisco, CA",2
"Data Science Manager, Analytics",Textio,"Seattle, WA",2
Data Scientist,Change Research,"Palo Alto, CA",2
Data Scientist,Clarigent Health,"Mason, OH",2
Growth Data Analyst,A Cloud Guru,"Austin, TX",2
Manager of Data Analytics,UnitedHealth Group,"Santa Ana, CA",2
"Data Analyst, Ads Marketing",Google,"San Francisco, CA",2
Associate Data Quality Analyst,Cedars-Sinai,"Los Angeles, CA",2
American Express Campus Graduate â€“ 2020 Digital Analytics/Data Science Summer Internship,American Express,United States,2
"Associate, Data & Analytics",KPMG,"Chicago, IL",2
"Associate, Risk Analytics",KPMG,"Los Angeles, CA",2
"Sr. Consultant Business and Data Analytics, Healthcare",UnitedHealth Group,"Santa Ana, CA",2
"Sr. Associate, Project Management - Data & Analytics Operations",KPMG,"Los Angeles, CA",2
"Sr. Associate, Data Analytics",Publicis Sapient,"New York, NY",2
Baseball Analytics Intern,USA Baseball,"Durham, NC",2
"Sr Analyst, Enterprise Analytics",Upwork,"San Francisco Bay Area, CA",2
Strategic Data Analytics Analyst I,M&T Bank,"Getzville, NY",2
"Senior Data Scientist, Analytics & Inference",Codecademy,"New York, NY",2
