position,ct
data scientist,355
senior data scientist,98
research analyst,66
data engineer,63
machine learning engineer,56
research scientist,32
lead data scientist,31
sr. data scientist,30
principal data scientist,24
data analyst,23
software engineer,23
quantitative analyst,21
scientist,17
product manager,17
bioinformatics scientist,16
senior software engineer,16
market research analyst,15
"software engineer, machine learning",13
machine learning scientist,13
senior research analyst,12
senior scientist,12
senior data engineer,12
staff data scientist,11
nan,11
software development engineer,11
associate scientist,11
lead data engineer,9
research associate,9
student research collaboration,9
clinical scientist,8
sr. data engineer,8
senior machine learning scientist,8
operations research analyst,8
senior machine learning engineer,8
"senior associate, data scientist",7
senior software development engineer,7
research data analyst,7
senior quantitative analyst,7
senior applied scientist,7
computational biologist,7
business analyst,7
"director, data science",7
"data scientist, analytics",7
machine learning data scientist,6
"sales engineer, machine learning, google cloud",6
staff scientist,6
principal statistical programmer,6
international research analyst,6
statistical analyst,6
"manager, data science",6
data science manager,6
senior data analyst,6
applied scientist,6
research assistant,6
sr data scientist,6
staff software engineer,6
director of data science,6
"data and machine learning technical trainer, google cloud platform",6
associate data scientist,5
software engineer - machine learning,5
research engineer,5
environmental scientist,5
senior operations research analyst,5
"director, nlp data scientist",5
data analysis manager,5
supply chain data science manager,5
supply chain data science consultant,5
junior data scientist,5
"senior associate, data scientist (nlp/ai)",5
quantitative research analyst,5
principal software engineer,5
full stack engineer,5
statistician,5
"director, data scientist",5
data scientist i,5
administrative assistant,5
principal research scientist,4
deep learning scientist,4
language engineer,4
engineering manager,4
senior research scientist,4
data scientist - human services,4
marketing data scientist,4
chief data scientist,4
"software engineer, imaging",4
senior associate - cognitive data scientist natural language processing,4
manager - cognitive data scientist natural language processing,4
devops engineer,4
gis system administrator,4
machine learning architect,4
"data scientist, engineering",4
sr. machine learning engineer,4
"senior research scientist / fellow i, computational genomics",4
data science instructor,4
"vp, data science",4
senior product manager,4
software developer,4
sr. research analyst,4
associate research scientist,4
data scientist ii,4
biostatistician,4
"research scientist, google brain (united states)",4
"developer advocate, serverless",4
data science engineer,4
data visualization engineer,4
commercial construction market leader – global facilities,4
research associate ii,4
sales development representative,4
clinical research scientist,4
principal scientist,4
research data scientist,4
research technician,4
machine learning,4
big data engineer,4
sr scientist,3
"manager, machine learning",3
research specialist,3
"research scientist, machine learning and intelligence",3
data architect,3
"senior associate, data scientist/statistics -- financial services",3
product data scientist,3
bioinformatics scientist / data scientist,3
sr. product manager,3
"associate director, statistical programming",3
principal machine learning engineer,3
senior sales account executive,3
head of data science,3
senior data & applied scientist,3
senior statistical programmer,3
senior research associate,3
"manager, data scientist (ml/nlp) -- financial services",3
research & data analyst,3
backend engineer,3
msat scientist,3
assistant staff scientist,3
"senior scientist, content science",3
mechanical design engineer,3
"data scientist/quantitative analyst intern, summer 2018",3
quantitative finance analyst,3
researcher,3
senior statistical analyst,3
municipal bond research analyst,3
ux designer,3
senior data science engineer,3
computational scientist,3
sr. software engineer,3
analyst,3
immunologist,3
research coordinator,3
"product analyst, data science",3
solution architect,3
"developer programs engineer, machine learning",3
principal engineer,3
senior technical writer,3
research fellow,3
senior business intelligence analyst,3
applied scientist - alexa engine,3
"azure data scientist, manager",3
data scientist (product),3
clinical research coordinator,3
statistical programmer,3
"director, financial services - data scientist",3
sr software engineer,3
research scientist i,3
data & applied scientist,3
operations research scientist,3
software development manager,3
sr quantitative finance analyst,3
technical product manager,3
senior market research analyst,3
senior front end engineer,3
technical writer,3
"azure data scientist, senior associate",3
"manager, data scientist",3
data software engineer,3
"solutions architect, machine learning, google cloud",3
solutions analyst,2
big data sw engineer,2
sr. technical program manager,2
data visualization software engineer,2
"artificial intelligence engineer, senior associate",2
research scientist discovery biology,2
sde aws sagemaker algorithms; machine learning; ai,2
"ai research/software development engineer, alexa artificial intelligence",2
"software engineer, backend (multiple levels)",2
staff controls engineer,2
cloud ops engineer,2
"software engineer, arcore",2
"scientist 1, microbiology development",2
senior research analyst - competitive intelligence,2
"data scientist technical lead, engineering",2
bioinformatics scientist 1,2
"director, data scientist -- financial services/insurance",2
"regulatory labeling, advertising and promotion scientist",2
business intelligence engineer,2
"machine learning engineer, manager",2
director of engineering,2
people scientist,2
internal auditor,2
senior business analyst,2
full stack developer,2
research analyst - social and customer trends,2
"director, data science (ps6695)",2
program assistant,2
"knowledge engineer, amazon alexa",2
"associate director, lead data scientist",2
sr research analyst,2
process development scientist,2
senior machine learning architect,2
financial analyst,2
knowledge engineer,2
"product analytics lead, data science",2
"engineering resident, university graduate (fixed-term employee)",2
field application scientist (pre-sales),2
"data driven marketing analytics manager, director",2
"scientist iii, chemistry, mfg & cntrl",2
lead decision scientist,2
"manager, tpms",2
senior scientist analytical development,2
technical research assistant ii / day / 40 hours / bwh neurology,2
principal applied scientist,2
"machine learning scientist, amazon alexa",2
applied machine learning scientist,2
cafe recruiter,2
postdoctoral research associate,2
presales solutions architect | machine learning,2
research scientist - deep learning,2
research analyst iii,2
statistical modeler,2
"senior scientist, advertising",2
research scientist parallel medicinal chemistry,2
planning associate,2
sr. applied scientist,2
"data scientist, fire tv product management",2
"scientist, pharmacology",2
health scientist,2
research scientist functional genomics,2
"sr. scientist, toxicology",2
"sr. machine learning scientist, amazon alexa",2
research scientist- alexa ml,2
technical research analyst - cryptoassets,2
"scientist, asst (ar) som",2
senior machine learning research scientist,2
pursuit leader/proposal coordinator,2
"temporary research scientist i, electrophysiology",2
"upstream technology principal research analyst, ceraweek",2
sr data analyst,2
senior software engineer (search relevance/infra),2
data science specialist,2
forensic toxicologist,2
"sr. vice president, data analytics",2
software product manager,2
data scientist - insurance,2
"senior scientist, vector engineering",2
research analyst i,2
senior scientist chemical and materials engineering,2
director,2
sr staff software engineer,2
data research analyst,2
pharmacometrician,2
senior hr manager,2
biostatistician i,2
"senior data scientist, analytics",2
head of data,2
account executive - atlanta,2
"associate, client success",2
technical research assistant i / 40 hour / day / bwh - infectious diseases,2
sr. software engineer - machine learning,2
staff software architect,2
research analyst ii,2
senior electrical engineer,2
quantitative researcher- machine learning,2
jr. data scientist,2
research associate iii,2
entry-level electrical engineer,2
"senior/lead software developer - amazon alexa machine learning science team - kendall square/cambridge, ma",2
computer scientist,2
variant scientist,2
distinguished software engineer - machine learning,2
sr speech scientist,2
deep learning software development engineer,2
senior software developer,2
"senior research engineer, alexa",2
"applied research scientist, core machine learning",2
sr. hardware audio engineer,2
senior machine learning / artificial intelligence engineer,2
"research scientist, machine learning (phd university grad)",2
data platform engineer,2
sr machine learning engineer,2
user researcher,2
field application scientist,2
senior data analytics expert,2
associate/scientist,2
staff electrical engineer,2
machine learning researcher,2
data scientist - biostatistics,2
principal software engineer (search -machine learning),2
"principal, education | science | tech",2
data scientist / sr. data scientist,2
sr. market research analyst,2
front end engineer,2
machine learning/nlp engineer,2
deep learning scientist - yield analytics,2
data scientist - alexa language technologies,2
research assistant i,2
"data scientist, customer interests & personalization",2
high throughput screening scientific leader,2
"senior analyst, data and analysis",2
director data science,2
staff software engineer/architect,2
"principal product manager technical, amazon search (l7)",2
qa engineer,2
"scientist, cellular immunology",2
"senior scientist, analytical development",2
principal clinical scientist,2
senior developer,2
data and policy analyst - statistical programmer,2
backend developer,2
"sr. software development engineer, amazon sagemaker, aws amazonai machine learning platform",2
project analyst,2
senior software engineering lead,2
recruiter,2
"senior software developer - amazon alexa machine learning science team in cambridge, ma",2
senior enterprise software engineer,2
"software development engineer, aws lex",2
senior product designer,2
product designer,2
sr. research scientist,2
senior medical writer,2
scientist i,2
senior solution architect,2
research associate i,2
data scientist - analytics,2
nonclinical research scientist/senior research associate,2
compensation analyst,2
director of data,2
quality control scientist,2
scientist i/ii - bioinformatics,2
predictive modeling analyst,2
"software development engineer, amazon sagemaker, aws amazonai machine learning platform",2
project scientist,2
"research technologist, sr.",2
"senior software developer - amazon alexa machine learning team - cambridge, ma",2
"frontend/ui engineer, amazon sagemaker, aws machine learning platform",2
clinical data scientist,2
"vice president, dfir",2
lead data scientist - machine learning,2
facilities manager,2
quantitative data analyst,2
machine learning research scientist,2
quantitative marketing analyst,2
research scientist reaction optimization,2
"data scientist, optimization",2
"scientist, analytical sciences",2
sr. statistical programmer,2
"senior research associate, immunology",2
principal program manager,2
procurement analyst,2
"senior software engineer - amazon alexa machine learning science team - cambridge, massachusetts",2
global safety scientist,2
customer success manager,2
"frontend/ui engineer, amazon sagemaker, aws amazonai machine learning platform",2
business development manager (nba),2
scientist 1,2
food scientist,2
research and data analyst,2
quantitative researcher - data quality,2
big data architect,2
marketing manager,2
senior bioinformatics scientist,2
"senior manager, data science",2
program manager,2
idbs - product business manager,2
research analyst - advanced analytics,2
sr. machine learning manager- 2018 alexa boston,2
machine learning software engineer,2
software engineer - data,2
test technician 1,2
customer facing data scientist,2
clinical data manager,2
d3- sr. nlp deep learning data scientist,2
senior imaging scientist,2
software engineer - human machine interface design,2
formulation scientist,2
principal machine learning scientist,2
aerospace machine learning group lead,2
"director, product management",2
data scientist (nyc),2
sales engineer,2
"research scientist ii, electrophysiology",2
"data scientist / quantitative researcher, systematic trading",2
principal data engineer,2
email marketing manager,2
senior/principal digital health platforms data scientist (phc),2
assistant research scientist,2
application scientist,2
toxicologist,2
"python software developer - amazon alexa machine learning team in cambridge, ma",2
lead operations research scientist,2
sr. technical recruiter,2
marketing operations director 5,2
software engineer iii,2
senior data engineer / algo-dev,2
principal technical program manager,2
experienced data scientist,2
"senior director, data science",2
data scientist - machine learning,2
project administrator/project accountant,2
market research manager,2
intelligence research analyst,2
principal machine learning data scientist - natural language processing,2
behavioral scientist,2
lead machine learning engineer,2
senior data architect,2
policy research analyst,2
facility budget research analyst,2
machine learning infrastructure engineer,2
research scientist chemical biology,2
computer vision research scientist,2
software development engineer ii,2
director of research chemistry,2
"data scientist, advanced analytics",2
scientist formulation development,2
computer vision data scientist,2
senior software engineer - machine learning,2
product analyst,2
data management specialist,2
senior data scientist / machine learning,2
customer data scientist,2
"lead data science instructor, principal data scientist",2
applied scientist i,2
"senior consultant, advanced analytics",2
automation engineer,2
"software development manager, machine learning",2
"senior scientist, quality control",2
technical recruiter,2
postdoctoral associate,2
software development engineer in test,2
lead research analyst,2
"manager, data scientist (ai/nlp)",2
sales manager,2
"software development engineer, amazon sagemaker ml frameworks, aws amazonai machine learning platform",2
senior structural engineer-transmission & distribution,1
"junior to mid-level engineer, geologist or environmental scientist",1
analyst - cib credit research,1
health scientist iii-cpts,1
"data scientist, keying & linking",1
assistant scientist (ar) som,1
business intelligence data science analyst - supply chain,1
vendor research analyst,1
senior mobile developer (ios/android),1
"sr. manager, full stack development, kpmg tax ignition",1
data scientist - supply chain,1
data scientist or data scientist lead ps10268,1
scientist ii/ecologist ii,1
manager of data engineering,1
"product specialist - periscope, new ventures",1
scientist i - sensory panel leader,1
assistant professor -tt - signal processing & machine learning,1
an ostentatiously-excitable principal research assistant to chief scientist,1
statistical forecast analyst,1
data scientist 1 – ap forensics team,1
data scientist - icl,1
"data scientist, online",1
research informatics analyst,1
"vp, data analytics",1
"vp, data scientist- atlanta, ga; charlotte, nc",1
supervisory health scientist,1
chief deep learning scientist,1
flight safety data analysis fall co-op,1
"data scientist - consultant level - orlando, florida - we will assist with relocation",1
scientist ii,1
manager - data scientist ! orlando!,1
machine learning / artificial intelligence research scientist,1
"data engineer, scala",1
enterprise data analyst & data engineer,1
"data engineer - gc insights, new ventures",1
data & analytics developer,1
data scientist - space optimization,1
"associate scientist, som",1
si coe iot data modeling architect,1
hiv research scientist,1
"sr scientist ii, analytical science",1
product development scientist,1
"technical evangelist – database, analytics, and machine learning",1
health communications specialist,1
data analyst supply chain,1
information technology specialist,1
"analyst, research",1
"scientist, asst bioinformatics",1
statistical quantitative analyst,1
"data scientist - senior consultant - orlando, florida",1
public health communications specialist,1
lead r & d engineer/scientist,1
advertiser research analyst,1
mid data scientist - machine learning,1
"business intelligence analyst, people analytics & measurement",1
data science manager- atlanta,1
coding research analyst,1
jr microbiologist - cdc,1
quantitative finance analyst/c++ developer,1
supervisory epidemiologist,1
"entry level geologist, engineer or environmental scientist",1
"scientist, asst (ar) school of medicine (som)",1
staff research scientist vii: informational interpretation researcher,1
2018 - health research analyst 2 - new,1
communications specialist,1
"data science specialist - periscope, new ventures",1
category manager,1
scientist - data analysis,1
"junior specialist - periscope advanced insights growth mapping, new ventures",1
technical lead data engineer/architect,1
environmental project engineer - ccr/fly ash npdes,1
senior fpga hardware researcher - cipher,1
"technical product manager – secureworks – austin, tx, atlanta, ga, d.c. metro, or remote",1
cyber security systems engineer,1
devops engineer - elsys,1
"right-of-way acquisition manager | atlanta, ga",1
senior marketing research analyst,1
fpga hardware researcher - cipher,1
"senior scientist, immunology",1
solutions consultant,1
biomedical engineering: faculty position - open rank (asst or assoc professor),1
"senior data engineer, next big sound",1
assistant scientist - metabolics division lead,1
"manager, statistical modeling & analytics",1
avionics system designer (advanced degree) - elsys,1
principal research scientist i: informational library architect extraordinaire,1
malware analyst,1
corporate investment quantitative finance analyst,1
data analytics engineer / big data engineer,1
r&d innovation engineer - video analytics/machine learning,1
tech fall 2018 intern - machine learning,1
ecologist,1
associate product designer,1
a vigorously-charged scientific programmer,1
advanced analytics consultant - machine learning,1
sr. data scientist – market research,1
certifying scientist / quantitation scientist,1
research epidemiologist,1
"associate manager, agile paid media",1
"post-doctoral fellow- medical imaging, machine learning and ct physics",1
branch head for fpga hardware research and development - cipher,1
entry level/junior-level scientist,1
"various professional, technical, administrative and scientific positions supporting a public health client",1
business intelligence data scientist - supply chain,1
data scientist - consultant level - orlando florida - we will help relocate,1
senior cyber security data scientist,1
sponsored research financial analyst,1
director hr data and insights,1
bi quantitative analyst,1
"post-doctoral fellowship training program in cancer epidemiology, prevention and survivorship",1
implementation engineer (machine learning/data analytics),1
landscape architect (graduate),1
senior research analyst and team lead - hr insights - bersin,1
business development manager (southeast region),1
avionics system designer - elsys,1
senior software researcher - cipher,1
pediatrics – dir. pediatric clinical and translational research,1
business analytics consultant sr,1
sr. staff enterprise application engineer,1
sr quantitative finance analyst/c++ developer,1
bi - analytics - cloud platform operations analyst,1
"senior analyst - multi-client benchmarks, gc insights - new ventures",1
"senior analyst, payments study - gc insights, new ventures",1
"senior engineer ii, packaging research",1
configuration management/quality assurance manager -atas,1
practice technology regional bim manager (east region),1
windows programmer / software engineer- elsys,1
"senior analyst - gc insights, new ventures",1
senior web developer,1
